LA; 53,11,21,8,13,36,51,7,3,50,49,28,26,23,22,47,29,18,17,14,6,48,33,24,1,52,42,25,20,16,9,4,44,41,40,37,35,34,12,5;
LADO; 18,14,11;
LAS; 25,52,47,42,41,36,35,28,26,22,11,4,1;
LE; 26,34,29,49,21,13,44,37,28,11,52,50,48,42,36,8,5,4,3;
LECTIVO; 26,34,35;
LECTIVOS; 34,26;
LEER; 17,20,16,13;
LES; 36,28;
LINEA; 45,38,30,44,37,29;
LINEAS; 29;
LINK; 3;
LISTA; 33;
LISTARA; 48;
LLEGAR; 5;
LLEGARAN; 9;
LLEVA; 28;
LLEVARA; 21,5;
LO; 51,5,53,41,35,28,21,11;
LOGUEADO; 11;
LOGUEAR; 2;
LOS; 34,26,50,28,11,42,41,36,29,21,52,44,39,37,35,33,17,9,53,51,49,48,47,46,45,43,40,38,31,30,25,23,18,14,13,10,8;
LUEGE; 50;
LUEGO; 51,53,52,48,24,23,18,14,11,10,9,4;
LUGAR; 53;
LUPA; 52,48,34,26,11;
