SALINETES; 21,17;
SALIR; 21,23;
SANCIONES; 25;
SE; 11,41,35,26,8,34,25,5,53,46,43,40,39,36,28,13,1,52,51,50,49,47,45,42,38,33,31,30,29,24,23,22,18,14,9,4,3;
SEA; 7;
SECCIONADA; 42;
SECCIONES; 1;
SECRETA; 24,6,9,10,22;
SECRETAR; 10,9;
SECTOR; 11;
SEGUIR; 4;
SEGUN; 42;
SEGURIDAD; 22,6,4;
SELECCIONA; 21,51,50,17,13;
SELECCIONADO; 49,35,26,21,48,41;
SELECCIONADOS; 41,35,18,14;
SELECCIONANDO; 34,26,48;
SELECCIONAR; 21,26,29,8,44,37,28,53,52,50,49,48,34,23,22,13;
SELECCIONARSE; 26;
SELECCIONE; 23,52,50,48,34,26,8;
SELECIONE; 51;
SER; 9,50,23,8;
SERA; 51,53,21;
SERIE; 8;
SESION; 11,3,2;
SESIÓN; 11,3,2;
SEÑALA; 33;
SI; 21,11,52,50,17,13,4,3;
SIGNO; 11;
SIGNOS; 11;
SIGUIENTA; 11;
SIGUIENTE; 5,36,29,28,21,20,17,16,13,8,1;
SIN; 53,51,8;
SISTEMA; 3,9,4,2,1;
SITEMA; 1;
SOBRE; 12,36,28,18,14,4;
SOLICITA; 8,9;
SOLICITADO; 42;
SOLICITANDO; 5;
SOLO; 48,11;
SON; 36;
SU; 3,4,24,22,9,50,29,11,10,8,7,2,1;
SUPERIOR; 18,14;
SUS; 12;
