SABER; 26,25,24,21;
SALIDAS; 32;
SANCIONES; 32;
SE; 26,31,25,24,15,7,34,32,21,8,6,5,4,22,30,27,19,18,16,33,29,17,14,11,9,3,2;
SEA; 26,24;
SECCIONES; 14,18,15,35,29,17,16;
SECCIÓN; 19,15,2;
SECRETA; 7,5,15;
SEGURIDAD; 34;
SELECCIONA; 26,25,24,31,27,23,21;
SELECCIONADO; 31,22,21;
SELECCIONADOS; 21,31,26,25,24;
SELECCIONANDO; 26,24;
SELECCIONAR; 21,31,26,25,24,22,4;
SELECCIONE; 11,4;
SELECCIÓN; 24,31,26,25;
SEPARADO; 27;
SEPARADORA; 27;
SER; 8,5,34,33,7;
SERIE; 22;
SERÁ; 5;
SERÁN; 13,4;
SESIÓN; 3,15;
SI; 26,25,24,31,21,30,15,6,3;
SIDO; 22,25,21;
SIGUIENTE; 7,3,26,25,24,21,8;
SIGUIENTES; 29,21,15;
SIMILARES; 20;
SIMULTÁNEA; 32;
SIN; 26,25,24,27,5,4;
SIRVE; 31;
SISTEMA; 15,2,32,16,7,6,3,35,26,25,24,21,19,10,9,4;
SITUACIONES; 28;
SITUACIÓN; 29;
SOBRE; 29,18,31,35,17,15,11,4;
SOLICITA; 26,25,24;
SOLICITAR; 7;
SOLICITO; 6;
SOLICITUD; 6;
SOLO; 32,26,24,21;
SON; 32,28,21,19;
SOPORTE; 15;
SU; 24,7,34,26,25,23,21,4,3;
SUMAMENTE; 32;
SUS; 24,32,17;
SÓLO; 25,4;
